Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,10-06-2017,,,,,,,,
B25A3881,001,26-10-2014,84,95,396,,,,,,
B25A3881,001,27-10-2014,86,97,394,,,,,,
B25A3881,001,28-10-2014,88,99,392,,,,,,
B25A3881,001,29-10-2014,89,100,391,,,,,,
B25A3881,001,30-10-2014,90,101,390,,,,,,
B25A3881,001,31-10-2014,87,98,393,,,,,,
B25A3881,001,01-11-2014,84,95,396,,,,,,
B25A3881,001,02-11-2014,84,95,396,,,,,,
B25A3881,001,03-11-2014,83,94,397,,,,,,
B25A3881,001,04-11-2014,82,93,398,,,,,,
B25A3881,001,05-11-2014,86,97,394,,,,,,
B25A3881,001,06-11-2014,89,100,391,,,,,,
B25A3881,001,07-11-2014,91,102,389,,,,,,
B25A3881,001,08-11-2014,91,102,389,,,,,,
B25A3881,001,09-11-2014,87,98,393,,,,,,
B25A3881,001,10-11-2014,86,97,394,,,,,,
B25A3881,001,11-11-2014,84,95,396,,,,,,
B25A3881,001,12-11-2014,85,96,395,,,,,,
B25A3881,001,13-11-2014,89,100,391,,,,,,
B25A3881,001,14-11-2014,87,98,393,,,,,,
B25A3881,001,15-11-2014,82,93,398,,,,,,
B25A3881,001,16-11-2014,82,93,398,,,,,,
B25A3881,001,17-11-2014,75,86,405,,,,,,
B25A3881,001,18-11-2014,80,91,400,,,,,,
B25A3881,001,19-11-2014,85,96,395,,,,,,
B25A3881,001,20-11-2014,88,99,392,,,,,,
B25A3881,001,21-11-2014,90,101,390,,,,,,
B25A3881,001,22-11-2014,91,102,389,,,,,,
B25A3881,001,23-11-2014,92,103,388,,,,,,
B25A3881,001,24-11-2014,96,107,384,,,,,,
B25A3881,001,25-11-2014,95,106,385,,,,,,
B25A3881,001,26-11-2014,89,100,391,,,,,,
B25A3881,001,27-11-2014,89,100,391,,,,,,
B25A3881,001,28-11-2014,88,99,392,,,,,,
B25A3881,001,29-11-2014,91,102,389,,,,,,
B25A3881,001,30-11-2014,91,102,389,,,,,,
B25A3881,001,01-12-2014,87,98,393,,,,,,
B25A3881,001,02-12-2014,91,102,389,,,,,,
B25A3881,001,03-12-2014,93,104,387,,,,,,
B25A3881,001,04-12-2014,92,103,388,,,,,,
B25A3881,001,05-12-2014,91,102,389,,,,,,
B25A3881,001,06-12-2014,91,102,389,,,,,,
B25A3881,001,07-12-2014,91,102,389,,,,,,
B25A3881,001,08-12-2014,90,101,390,,,,,,
B25A3881,001,09-12-2014,93,104,387,,,,,,
B25A3881,001,10-12-2014,88,99,392,,,,,,
B25A3881,001,11-12-2014,84,95,396,,,,,,
B25A3881,001,12-12-2014,74,85,406,,,,,,
B25A3881,001,13-12-2014,70,81,410,,,,,,
B25A3881,001,14-12-2014,72,83,408,,,,,,
B25A3881,001,15-12-2014,72,83,408,,,,,,
B25A3881,001,16-12-2014,70,81,410,,,,,,
B25A3881,001,17-12-2014,72,83,408,,,,,,
B25A3881,001,18-12-2014,77,88,403,,,,,,
B25A3881,001,19-12-2014,74,85,406,,,,,,
B25A3881,001,20-12-2014,76,87,404,,,,,,
B25A3881,001,21-12-2014,81,92,399,,,,,,
B25A3881,001,22-12-2014,83,94,397,,,,,,
B25A3881,001,23-12-2014,82,93,398,,,,,,
B25A3881,001,24-12-2014,80,91,400,,,,,,
B25A3881,001,25-12-2014,82,93,398,,,,,,
B25A3881,001,26-12-2014,84,95,396,,,,,,
B25A3881,001,27-12-2014,75,86,405,,,,,,
B25A3881,001,28-12-2014,75,86,405,,,,,,
B25A3881,001,29-12-2014,79,90,401,,,,,,
B25A3881,001,30-12-2014,82,93,398,,,,,,
B25A3881,001,31-12-2014,82,93,398,,,,,,
B25A3881,001,01-01-2015,82,93,398,,,,,,
B25A3881,001,02-01-2015,80,91,400,,,,,,
B25A3881,001,03-01-2015,79,90,401,,,,,,
B25A3881,001,04-01-2015,82,93,398,,,,,,
B25A3881,001,05-01-2015,82,93,398,,,,,,
B25A3881,001,06-01-2015,80,91,400,,,,,,
B25A3881,001,07-01-2015,81,92,399,,,,,,
B25A3881,001,08-01-2015,77,88,403,,,,,,
B25A3881,001,09-01-2015,73,84,407,,,,,,
B25A3881,001,10-01-2015,71,82,409,,,,,,
B25A3881,001,11-01-2015,74,85,406,,,,,,
B25A3881,001,12-01-2015,77,88,403,,,,,,
B25A3881,001,13-01-2015,65,76,415,,,,,,
B25A3881,001,14-01-2015,61,72,419,,,,,,
B25A3881,001,15-01-2015,57,68,423,,,,,,
B25A3881,001,16-01-2015,62,73,418,,,,,,
B25A3881,001,17-01-2015,68,79,412,,,,,,
B25A3881,001,18-01-2015,69,80,411,,,,,,
B25A3881,001,19-01-2015,68,79,412,,,,,,
B25A3881,001,20-01-2015,73,84,407,,,,,,
B25A3881,001,21-01-2015,77,88,403,,,,,,
B25A3881,001,22-01-2015,81,92,399,,,,,,
B25A3881,001,23-01-2015,85,96,395,,,,,,
B25A3881,001,24-01-2015,84,95,396,,,,,,
B25A3881,001,25-01-2015,87,98,393,,,,,,
B25A3881,001,26-01-2015,85,96,395,,,,,,
B25A3881,001,27-01-2015,88,99,392,,,,,,
B25A3881,001,28-01-2015,81,92,399,,,,,,
B25A3881,001,29-01-2015,76,87,404,,,,,,
B25A3881,001,30-01-2015,73,84,407,,,,,,
B25A3881,001,31-01-2015,68,79,412,,,,,,
B25A3881,001,01-02-2015,70,81,410,,,,,,
B25A3881,001,02-02-2015,69,80,411,,,,,,
B25A3881,001,03-02-2015,71,82,409,,,,,,
B25A3881,001,04-02-2015,73,84,407,,,,,,
B25A3881,001,05-02-2015,76,87,404,,,,,,
B25A3881,001,06-02-2015,78,89,402,,,,,,
B25A3881,001,07-02-2015,80,91,400,,,,,,
B25A3881,001,08-02-2015,80,91,400,,,,,,
B25A3881,001,09-02-2015,79,90,401,,,,,,
B25A3881,001,10-02-2015,80,91,400,,,,,,
B25A3881,001,11-02-2015,79,90,401,,,,,,
B25A3881,001,12-02-2015,79,90,401,,,,,,
B25A3881,001,13-02-2015,79,90,401,,,,,,
B25A3881,001,14-02-2015,79,90,401,,,,,,
B25A3881,001,15-02-2015,81,92,399,,,,,,
B25A3881,001,16-02-2015,81,92,399,,,,,,
B25A3881,001,17-02-2015,83,94,397,,,,,,
B25A3881,001,18-02-2015,82,93,398,,,,,,
B25A3881,001,19-02-2015,80,91,400,,,,,,
B25A3881,001,20-02-2015,74,85,406,,,,,,
B25A3881,001,21-02-2015,60,71,420,,,,,,
B25A3881,001,22-02-2015,61,72,419,,,,,,
B25A3881,001,23-02-2015,57,68,423,,,,,,
B25A3881,001,24-02-2015,63,74,417,,,,,,
B25A3881,001,25-02-2015,66,77,414,,,,,,
B25A3881,001,26-02-2015,68,79,412,,,,,,
B25A3881,001,27-02-2015,63,74,417,,,,,,
B25A3881,001,28-02-2015,66,77,414,,,,,,
B25A3881,001,01-03-2015,65,76,415,,,,,,
B25A3881,001,02-03-2015,68,79,412,,,,,,
B25A3881,001,03-03-2015,70,81,410,,,,,,
B25A3881,001,04-03-2015,73,84,407,,,,,,
B25A3881,001,05-03-2015,75,86,405,,,,,,
B25A3881,001,06-03-2015,76,87,404,,,,,,
B25A3881,001,07-03-2015,76,87,404,,,,,,
B25A3881,001,08-03-2015,76,87,404,,,,,,
B25A3881,001,09-03-2015,77,88,403,,,,,,
B25A3881,001,10-03-2015,77,88,403,,,,,,
B25A3881,001,11-03-2015,78,89,402,,,,,,
B25A3881,001,12-03-2015,79,90,401,,,,,,
B25A3881,001,13-03-2015,79,90,401,,,,,,
B25A3881,001,14-03-2015,80,91,400,,,,,,
B25A3881,001,15-03-2015,80,91,400,,,,,,
B25A3881,001,16-03-2015,80,91,400,,,,,,
B25A3881,001,17-03-2015,80,91,400,,,,,,
B25A3881,001,18-03-2015,81,92,399,,,,,,
B25A3881,001,19-03-2015,81,92,399,,,,,,
B25A3881,001,20-03-2015,80,91,400,,,,,,
B25A3881,001,21-03-2015,76,87,404,,,,,,
B25A3881,001,22-03-2015,76,87,404,,,,,,
B25A3881,001,23-03-2015,76,87,404,,,,,,
B25A3881,001,24-03-2015,75,86,405,,,,,,
B25A3881,001,25-03-2015,73,84,407,,,,,,
B25A3881,001,26-03-2015,73,84,407,,,,,,
B25A3881,001,27-03-2015,70,81,410,,,,,,
B25A3881,001,28-03-2015,71,82,409,,,,,,
B25A3881,001,29-03-2015,70,81,410,,,,,,
B25A3881,001,30-03-2015,68,79,412,,,,,,
B25A3881,001,31-03-2015,59,70,421,,,,,,
B25A3881,001,01-04-2015,65,76,415,,,,,,
B25A3881,001,02-04-2015,67,78,413,,,,,,
B25A3881,001,03-04-2015,71,82,409,,,,,,
B25A3881,001,04-04-2015,73,84,407,,,,,,
B25A3881,001,05-04-2015,75,86,405,,,,,,
B25A3881,001,06-04-2015,78,89,402,,,,,,
B25A3881,001,07-04-2015,81,92,399,,,,,,
B25A3881,001,08-04-2015,82,93,398,,,,,,
B25A3881,001,09-04-2015,80,91,400,,,,,,
B25A3881,001,10-04-2015,77,88,403,,,,,,
B25A3881,001,11-04-2015,76,87,404,,,,,,
B25A3881,001,12-04-2015,76,87,404,,,,,,
B25A3881,001,13-04-2015,76,87,404,,,,,,
B25A3881,001,14-04-2015,74,85,406,,,,,,
B25A3881,001,15-04-2015,73,84,407,,,,,,
B25A3881,001,16-04-2015,73,84,407,,,,,,
B25A3881,001,17-04-2015,74,85,406,,,,,,
B25A3881,001,18-04-2015,75,86,405,,,,,,
B25A3881,001,19-04-2015,74,85,406,,,,,,
B25A3881,001,20-04-2015,75,86,405,,,,,,
B25A3881,001,21-04-2015,75,86,405,,,,,,
B25A3881,001,22-04-2015,74,85,406,,,,,,
B25A3881,001,23-04-2015,74,85,406,,,,,,
B25A3881,001,24-04-2015,74,85,406,,,,,,
B25A3881,001,25-04-2015,73,84,407,,,,,,
B25A3881,001,26-04-2015,73,84,407,,,,,,
B25A3881,001,27-04-2015,73,84,407,,,,,,
B25A3881,001,28-04-2015,74,85,406,,,,,,
B25A3881,001,29-04-2015,74,85,406,,,,,,
B25A3881,001,30-04-2015,71,82,409,,,,,,
B25A3881,001,01-05-2015,71,82,409,,,,,,
B25A3881,001,02-05-2015,72,83,408,,,,,,
B25A3881,001,03-05-2015,71,82,409,,,,,,
B25A3881,001,04-05-2015,71,82,409,,,,,,
B25A3881,001,05-05-2015,66,77,414,,,,,,
B25A3881,001,06-05-2015,67,78,413,,,,,,
B25A3881,001,07-05-2015,69,80,411,,,,,,
B25A3881,001,08-05-2015,71,82,409,,,,,,
B25A3881,001,09-05-2015,70,81,410,,,,,,
B25A3881,001,10-05-2015,73,84,407,,,,,,
B25A3881,001,11-05-2015,73,84,407,,,,,,
B25A3881,001,12-05-2015,74,85,406,,,,,,
B25A3881,001,13-05-2015,76,87,404,,,,,,
B25A3881,001,14-05-2015,76,87,404,,,,,,
B25A3881,001,15-05-2015,78,89,402,,,,,,
B25A3881,001,16-05-2015,78,89,402,,,,,,
B25A3881,001,17-05-2015,78,89,402,,,,,,
B25A3881,001,18-05-2015,77,88,403,,,,,,
B25A3881,001,19-05-2015,72,83,408,,,,,,
B25A3881,001,20-05-2015,75,86,405,,,,,,
B25A3881,001,21-05-2015,78,89,402,,,,,,
B25A3881,001,22-05-2015,79,90,401,,,,,,
B25A3881,001,23-05-2015,79,90,401,,,,,,
B25A3881,001,24-05-2015,80,91,400,,,,,,
B25A3881,001,25-05-2015,80,91,400,,,,,,
B25A3881,001,26-05-2015,81,92,399,,,,,,
B25A3881,001,27-05-2015,79,90,401,,,,,,
B25A3881,001,28-05-2015,78,89,402,,,,,,
B25A3881,001,29-05-2015,78,89,402,,,,,,
B25A3881,001,30-05-2015,75,86,405,,,,,,
B25A3881,001,31-05-2015,76,87,404,,,,,,
B25A3881,001,01-06-2015,74,85,406,,,,,,
B25A3881,001,02-06-2015,75,86,405,,,,,,
B25A3881,001,03-06-2015,78,89,402,,,,,,
B25A3881,001,04-06-2015,80,91,400,,,,,,
B25A3881,001,05-06-2015,79,90,401,,,,,,
B25A3881,001,06-06-2015,81,92,399,,,,,,
B25A3881,001,07-06-2015,82,93,398,,,,,,
B25A3881,001,08-06-2015,83,94,397,,,,,,
B25A3881,001,09-06-2015,83,94,397,,,,,,
B25A3881,001,10-06-2015,84,95,396,,,,,,
B25A3881,001,11-06-2015,84,95,396,,,,,,
B25A3881,001,12-06-2015,84,95,396,,,,,,
B25A3881,001,13-06-2015,85,96,395,,,,,,
B25A3881,001,14-06-2015,86,97,394,,,,,,
B25A3881,001,15-06-2015,87,98,393,,,,,,
B25A3881,001,16-06-2015,87,98,393,,,,,,
B25A3881,001,17-06-2015,87,98,393,,,,,,
B25A3881,001,18-06-2015,83,94,397,,,,,,
B25A3881,001,19-06-2015,84,95,396,,,,,,
B25A3881,001,20-06-2015,85,96,395,,,,,,
B25A3881,001,21-06-2015,84,95,396,,,,,,
B25A3881,001,22-06-2015,83,94,397,,,,,,
B25A3881,001,23-06-2015,81,92,399,,,,,,
B25A3881,001,24-06-2015,84,95,396,,,,,,
B25A3881,001,25-06-2015,84,95,396,,,,,,
B25A3881,001,26-06-2015,85,96,395,,,,,,
B25A3881,001,27-06-2015,86,97,394,,,,,,
B25A3881,001,28-06-2015,87,98,393,,,,,,
B25A3881,001,29-06-2015,88,99,392,,,,,,
B25A3881,001,30-06-2015,87,98,393,,,,,,
B25A3881,001,01-07-2015,87,98,393,,,,,,
B25A3881,001,02-07-2015,88,99,392,,,,,,
B25A3881,001,03-07-2015,89,100,391,,,,,,
B25A3881,001,04-07-2015,89,100,391,,,,,,
B25A3881,001,05-07-2015,88,99,392,,,,,,
B25A3881,001,06-07-2015,89,100,391,,,,,,
B25A3881,001,07-07-2015,88,99,392,,,,,,
B25A3881,001,08-07-2015,90,101,390,,,,,,
B25A3881,001,09-07-2015,90,101,390,,,,,,
B25A3881,001,10-07-2015,91,102,389,,,,,,
B25A3881,001,11-07-2015,91,102,389,,,,,,
B25A3881,001,12-07-2015,92,103,388,,,,,,
B25A3881,001,13-07-2015,93,104,387,,,,,,
B25A3881,001,14-07-2015,90,101,390,,,,,,
B25A3881,001,15-07-2015,91,102,389,,,,,,
B25A3881,001,16-07-2015,88,99,392,,,,,,
B25A3881,001,17-07-2015,89,100,391,,,,,,
B25A3881,001,18-07-2015,92,103,388,,,,,,
B25A3881,001,19-07-2015,92,103,388,,,,,,
B25A3881,001,20-07-2015,92,103,388,,,,,,
B25A3881,001,21-07-2015,93,104,387,,,,,,
B25A3881,001,22-07-2015,93,104,387,,,,,,
B25A3881,001,23-07-2015,94,105,386,,,,,,
B25A3881,001,24-07-2015,94,105,386,,,,,,
B25A3881,001,25-07-2015,93,104,387,,,,,,
B25A3881,001,26-07-2015,88,99,392,,,,,,
B25A3881,001,27-07-2015,78,89,402,,,,,,
B25A3881,001,28-07-2015,78,89,402,,,,,,
B25A3881,001,29-07-2015,78,89,402,,,,,,
B25A3881,001,30-07-2015,81,92,399,,,,,,
B25A3881,001,31-07-2015,83,94,397,,,,,,
B25A3881,001,01-08-2015,84,95,396,,,,,,
B25A3881,001,02-08-2015,86,97,394,,,,,,
B25A3881,001,03-08-2015,86,97,394,,,,,,
B25A3881,001,04-08-2015,86,97,394,,,,,,
B25A3881,001,05-08-2015,86,97,394,,,,,,
B25A3881,001,06-08-2015,87,98,393,,,,,,
B25A3881,001,07-08-2015,89,100,391,,,,,,
B25A3881,001,08-08-2015,91,102,389,,,,,,
B25A3881,001,09-08-2015,91,102,389,,,,,,
B25A3881,001,10-08-2015,93,104,387,,,,,,
B25A3881,001,11-08-2015,94,105,386,,,,,,
B25A3881,001,12-08-2015,94,105,386,,,,,,
B25A3881,001,13-08-2015,94,105,386,,,,,,
B25A3881,001,14-08-2015,84,95,396,,,,,,
B25A3881,001,15-08-2015,78,89,402,,,,,,
B25A3881,001,16-08-2015,80,91,400,,,,,,
B25A3881,001,17-08-2015,480,491,0,,,,,,
B25A3881,001,18-08-2015,480,491,0,,,,,,
B25A3881,001,19-08-2015,480,491,0,,,,,,
B25A3881,001,20-08-2015,66,77,414,,,,,,
B25A3881,001,21-08-2015,68,79,412,,,,,,
B25A3881,001,22-08-2015,71,82,409,,,,,,
B25A3881,001,23-08-2015,72,83,408,,,,,,
B25A3881,001,24-08-2015,73,84,407,,,,,,
B25A3881,001,25-08-2015,72,83,408,,,,,,
B25A3881,001,26-08-2015,71,82,409,,,,,,
B25A3881,001,27-08-2015,53,64,427,,,,,,
B25A3881,001,28-08-2015,49,60,431,,,,,,
B25A3881,001,29-08-2015,54,65,426,,,,,,
B25A3881,001,30-08-2015,55,66,425,,,,,,
B25A3881,001,31-08-2015,45,56,435,,,,,,
B25A3881,001,01-09-2015,44,55,436,,,,,,
B25A3881,001,02-09-2015,48,59,432,,,,,,
B25A3881,001,03-09-2015,49,60,431,,,,,,
B25A3881,001,04-09-2015,40,51,440,,,,,,
B25A3881,001,05-09-2015,30,41,450,,,,,,
B25A3881,001,06-09-2015,37,48,443,,,,,,
B25A3881,001,07-09-2015,36,47,444,,,,,,
B25A3881,001,08-09-2015,40,51,440,,,,,,
B25A3881,001,09-09-2015,43,54,437,,,,,,
B25A3881,001,10-09-2015,44,55,436,,,,,,
B25A3881,001,11-09-2015,46,57,434,,,,,,
B25A3881,001,12-09-2015,47,58,433,,,,,,
B25A3881,001,13-09-2015,49,60,431,,,,,,
B25A3881,001,14-09-2015,49,60,431,,,,,,
B25A3881,001,15-09-2015,37,48,443,,,,,,
B25A3881,001,01-10-2015,40,51,440,,,,,,
B25A3881,001,02-10-2015,40,51,440,,,,,,
B25A3881,001,03-10-2015,42,53,438,,,,,,
B25A3881,001,04-10-2015,45,56,435,,,,,,
B25A3881,001,05-10-2015,45,56,435,,,,,,
B25A3881,001,06-10-2015,42,53,438,,,,,,
B25A3881,001,07-10-2015,47,58,433,,,,,,
B25A3881,001,08-10-2015,47,58,433,,,,,,
B25A3881,001,09-10-2015,48,59,432,,,,,,
B25A3881,001,10-10-2015,49,60,431,,,,,,
B25A3881,001,11-10-2015,51,62,429,,,,,,
B25A3881,001,12-10-2015,52,63,428,,,,,,
B25A3881,001,13-10-2015,53,64,427,,,,,,
B25A3881,001,14-10-2015,53,64,427,,,,,,
B25A3881,001,15-10-2015,53,64,427,,,,,,
B25A3881,001,16-10-2015,46,57,434,,,,,,
B25A3881,001,17-10-2015,48,59,432,,,,,,
B25A3881,001,18-10-2015,52,63,428,,,,,,
B25A3881,001,19-10-2015,54,65,426,,,,,,
B25A3881,001,20-10-2015,55,66,425,,,,,,
B25A3881,001,21-10-2015,58,69,422,,,,,,
B25A3881,001,22-10-2015,51,62,429,,,,,,
B25A3881,001,23-10-2015,58,69,422,,,,,,
B25A3881,001,24-10-2015,59,70,421,,,,,,
B25A3881,001,25-10-2015,62,73,418,,,,,,
B25A3881,001,26-10-2015,62,73,418,,,,,,
B25A3881,001,27-10-2015,63,74,417,,,,,,
B25A3881,001,28-10-2015,63,74,417,,,,,,
B25A3881,001,29-10-2015,65,76,415,,,,,,
B25A3881,001,30-10-2015,66,77,414,,,,,,
B25A3881,001,31-10-2015,66,77,414,,,,,,
B25A3881,001,01-11-2015,67,78,413,,,,,,
B25A3881,001,02-11-2015,67,78,413,,,,,,
B25A3881,001,03-11-2015,67,78,413,,,,,,
B25A3881,001,04-11-2015,67,78,413,,,,,,
B25A3881,001,05-11-2015,68,79,412,,,,,,
B25A3881,001,06-11-2015,62,73,418,,,,,,
B25A3881,001,07-11-2015,63,74,417,,,,,,
B25A3881,001,08-11-2015,63,74,417,,,,,,
B25A3881,001,09-11-2015,63,74,417,,,,,,
B25A3881,001,10-11-2015,56,67,424,,,,,,
B25A3881,001,11-11-2015,55,66,425,,,,,,
B25A3881,001,12-11-2015,58,69,422,,,,,,
B25A3881,001,13-11-2015,57,68,423,,,,,,
B25A3881,001,14-11-2015,54,65,426,,,,,,
B25A3881,001,15-11-2015,41,52,439,,,,,,
B25A3881,001,16-11-2015,46,57,434,,,,,,
B25A3881,001,17-11-2015,35,46,445,,,,,,
B25A3881,001,18-11-2015,39,50,441,,,,,,
B25A3881,001,19-11-2015,44,55,436,,,,,,
B25A3881,001,20-11-2015,45,56,435,,,,,,
B25A3881,001,21-11-2015,37,48,443,,,,,,
B25A3881,001,22-11-2015,38,49,442,,,,,,
B25A3881,001,23-11-2015,43,54,437,,,,,,
B25A3881,001,24-11-2015,42,53,438,,,,,,
B25A3881,001,25-11-2015,34,45,446,,,,,,
B25A3881,001,26-11-2015,35,46,445,,,,,,
B25A3881,001,27-11-2015,40,51,440,,,,,,
B25A3881,001,28-11-2015,37,48,443,,,,,,
B25A3881,001,29-11-2015,32,43,448,,,,,,
B25A3881,001,30-11-2015,34,45,446,,,,,,
B25A3881,001,01-12-2015,28,39,452,,,,,,
B25A3881,001,02-12-2015,36,47,444,,,,,,
B25A3881,001,03-12-2015,41,52,439,,,,,,
B25A3881,001,04-12-2015,42,53,438,,,,,,
B25A3881,001,05-12-2015,46,57,434,,,,,,
B25A3881,001,06-12-2015,50,61,430,,,,,,
B25A3881,001,07-12-2015,50,61,430,,,,,,
B25A3881,001,08-12-2015,53,64,427,,,,,,
B25A3881,001,09-12-2015,53,64,427,,,,,,
B25A3881,001,10-12-2015,54,65,426,,,,,,
B25A3881,001,11-12-2015,49,60,431,,,,,,
B25A3881,001,12-12-2015,52,63,428,,,,,,
B25A3881,001,13-12-2015,46,57,434,,,,,,
B25A3881,001,14-12-2015,52,63,428,,,,,,
B25A3881,001,15-12-2015,56,67,424,,,,,,
B25A3881,001,16-12-2015,51,62,429,,,,,,
B25A3881,001,17-12-2015,53,64,427,,,,,,
B25A3881,001,18-12-2015,55,66,425,,,,,,
B25A3881,001,19-12-2015,55,66,425,,,,,,
B25A3881,001,20-12-2015,56,67,424,,,,,,
B25A3881,001,21-12-2015,55,66,425,,,,,,
B25A3881,001,22-12-2015,52,63,428,,,,,,
B25A3881,001,23-12-2015,54,65,426,,,,,,
B25A3881,001,24-12-2015,54,65,426,,,,,,
B25A3881,001,25-12-2015,57,68,423,,,,,,
B25A3881,001,26-12-2015,57,68,423,,,,,,
B25A3881,001,27-12-2015,58,69,422,,,,,,
B25A3881,001,28-12-2015,58,69,422,,,,,,
B25A3881,001,29-12-2015,60,71,420,,,,,,
B25A3881,001,30-12-2015,60,71,420,,,,,,
B25A3881,001,31-12-2015,59,70,421,,,,,,
B25A3881,001,01-01-2016,61,72,419,,,,,,
B25A3881,001,02-01-2016,59,70,421,,,,,,
B25A3881,001,03-01-2016,50,61,430,,,,,,
B25A3881,001,04-01-2016,38,49,442,,,,,,
B25A3881,001,05-01-2016,41,52,439,,,,,,
B25A3881,001,06-01-2016,43,54,437,,,,,,
B25A3881,001,07-01-2016,47,58,433,,,,,,
B25A3881,001,08-01-2016,40,51,440,,,,,,
B25A3881,001,09-01-2016,45,56,435,,,,,,
B25A3881,001,10-01-2016,48,59,432,,,,,,
B25A3881,001,11-01-2016,50,61,430,,,,,,
B25A3881,001,12-01-2016,50,61,430,,,,,,
B25A3881,001,13-01-2016,50,61,430,,,,,,
B25A3881,001,14-01-2016,33,44,447,,,,,,
B25A3881,001,15-01-2016,29,40,451,,,,,,
B25A3881,001,16-01-2016,34,45,446,,,,,,
B25A3881,001,17-01-2016,38,49,442,,,,,,
B25A3881,001,18-01-2016,43,54,437,,,,,,
B25A3881,001,19-01-2016,46,57,434,,,,,,
B25A3881,001,20-01-2016,48,59,432,,,,,,
